file_id,label
../data/FacialExpression/0\anger-1.jpg,0
../data/FacialExpression/0\anger-1000.jpg,0
../data/FacialExpression/0\anger-1006.jpg,0
../data/FacialExpression/0\anger-1007.jpg,0
../data/FacialExpression/0\anger-1009.jpg,0
../data/FacialExpression/0\anger-1010.jpg,0
../data/FacialExpression/0\anger-1012.jpg,0
../data/FacialExpression/0\anger-1013.jpg,0
../data/FacialExpression/0\anger-1015.jpg,0
../data/FacialExpression/0\anger-1016.jpg,0
../data/FacialExpression/0\anger-1022.jpg,0
../data/FacialExpression/0\anger-1023.jpg,0
../data/FacialExpression/0\anger-1026.jpg,0
../data/FacialExpression/0\anger-1028.jpg,0
../data/FacialExpression/0\anger-103.jpg,0
../data/FacialExpression/0\anger-1030.jpg,0
../data/FacialExpression/0\anger-1031.jpg,0
../data/FacialExpression/0\anger-1032.jpg,0
../data/FacialExpression/0\anger-1034.jpg,0
../data/FacialExpression/0\anger-1036.jpg,0
../data/FacialExpression/0\anger-1037.jpg,0
../data/FacialExpression/0\anger-1038.jpg,0
../data/FacialExpression/0\anger-1039.jpg,0
../data/FacialExpression/0\anger-1042.jpg,0
../data/FacialExpression/0\anger-1043.jpg,0
../data/FacialExpression/0\anger-1044.jpg,0
../data/FacialExpression/0\anger-1046.jpg,0
../data/FacialExpression/0\anger-1047.jpg,0
../data/FacialExpression/0\anger-1048.jpg,0
../data/FacialExpression/0\anger-1049.jpg,0
../data/FacialExpression/0\anger-105.jpg,0
../data/FacialExpression/0\anger-1058.jpg,0
../data/FacialExpression/0\anger-106.jpg,0
../data/FacialExpression/0\anger-1062.jpg,0
../data/FacialExpression/0\anger-1064.jpg,0
../data/FacialExpression/0\anger-1067.jpg,0
../data/FacialExpression/0\anger-1069.jpg,0
../data/FacialExpression/0\anger-107.jpg,0
../data/FacialExpression/0\anger-1070.jpg,0
../data/FacialExpression/0\anger-1071.jpg,0
../data/FacialExpression/0\anger-1072.jpg,0
../data/FacialExpression/0\anger-1073.jpg,0
../data/FacialExpression/0\anger-1074.jpg,0
../data/FacialExpression/0\anger-1075.jpg,0
../data/FacialExpression/0\anger-1077.jpg,0
../data/FacialExpression/0\anger-1078.jpg,0
../data/FacialExpression/0\anger-108.jpg,0
../data/FacialExpression/0\anger-1080.jpg,0
../data/FacialExpression/0\anger-1081.jpg,0
../data/FacialExpression/0\anger-1083.jpg,0
../data/FacialExpression/0\anger-1084.jpg,0
../data/FacialExpression/0\anger-1086.jpg,0
../data/FacialExpression/0\anger-1088.jpg,0
../data/FacialExpression/0\anger-109.jpg,0
../data/FacialExpression/0\anger-1090.jpg,0
../data/FacialExpression/0\anger-1095.jpg,0
../data/FacialExpression/0\anger-1096.jpg,0
../data/FacialExpression/0\anger-110.jpg,0
../data/FacialExpression/0\anger-1101.jpg,0
../data/FacialExpression/0\anger-1102.jpg,0
../data/FacialExpression/0\anger-1107.jpg,0
../data/FacialExpression/0\anger-1109.jpg,0
../data/FacialExpression/0\anger-111.jpg,0
../data/FacialExpression/0\anger-1110.jpg,0
../data/FacialExpression/0\anger-1111.jpg,0
../data/FacialExpression/0\anger-1112.jpg,0
../data/FacialExpression/0\anger-1113.jpg,0
../data/FacialExpression/0\anger-1114.jpg,0
../data/FacialExpression/0\anger-1119.jpg,0
../data/FacialExpression/0\anger-112.jpg,0
../data/FacialExpression/0\anger-1123.jpg,0
../data/FacialExpression/0\anger-1124.jpg,0
../data/FacialExpression/0\anger-1126.jpg,0
